,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
32,2022-03-10,158.07184725685755,147.4117835290179,165.65247678333276,158.07184725685755,158.07184725685755,-1.5674611702335406,-1.5674611702335406,-1.5674611702335406,-1.5674611702335406,-1.5674611702335406,-1.5674611702335406,0.0,0.0,0.0,156.504386086624
33,2022-03-11,157.92105018190696,148.27389210014206,165.6045606796753,157.92105018190696,157.92105018190696,-1.3803023533466474,-1.3803023533466474,-1.3803023533466474,-1.3803023533466474,-1.3803023533466474,-1.3803023533466474,0.0,0.0,0.0,156.5407478285603
34,2022-03-14,157.46865895705528,146.34634519670945,164.44402000395925,157.46865895705528,157.46865895705528,-2.0168434891570324,-2.0168434891570324,-2.0168434891570324,-2.0168434891570324,-2.0168434891570324,-2.0168434891570324,0.0,0.0,0.0,155.45181546789826
35,2022-03-15,157.3178618821047,147.49983615546566,164.95393738571235,157.3178618821047,157.3178618821047,-1.1118323366413554,-1.1118323366413554,-1.1118323366413554,-1.1118323366413554,-1.1118323366413554,-1.1118323366413554,0.0,0.0,0.0,156.20602954546334
36,2022-03-16,157.16706480715413,146.32708677468628,164.75586367709985,157.16706480715413,157.16706480715413,-1.1516408624921348,-1.1516408624921348,-1.1516408624921348,-1.1516408624921348,-1.1516408624921348,-1.1516408624921348,0.0,0.0,0.0,156.015423944662
37,2022-03-17,157.01626773220357,146.31147911863647,164.14941492844537,157.01626773220357,157.01626773220357,-1.567461170239091,-1.567461170239091,-1.567461170239091,-1.567461170239091,-1.567461170239091,-1.567461170239091,0.0,0.0,0.0,155.4488065619645
38,2022-03-21,156.4130794324013,145.37119785766112,163.97132938639393,156.4130794324013,156.4130794324013,-2.016843489160232,-2.016843489160232,-2.016843489160232,-2.016843489160232,-2.016843489160232,-2.016843489160232,0.0,0.0,0.0,154.39623594324107
39,2022-03-22,156.26228235745072,145.56635764835949,163.72964031997822,156.26228235745072,156.26228235745072,-1.1118323366397398,-1.1118323366397398,-1.1118323366397398,-1.1118323366397398,-1.1118323366397398,-1.1118323366397398,0.0,0.0,0.0,155.15045002081098
40,2022-03-23,156.11148528250018,145.6376465322315,163.12338725742956,156.11148528250018,156.11148528250018,-1.151640862493473,-1.151640862493473,-1.151640862493473,-1.151640862493473,-1.151640862493473,-1.151640862493473,0.0,0.0,0.0,154.9598444200067
41,2022-03-24,155.96068832354274,145.56529510935283,163.44797401172866,155.96068832354274,155.96068832354274,-1.5674611702375914,-1.5674611702375914,-1.5674611702375914,-1.5674611702375914,-1.5674611702375914,-1.5674611702375914,0.0,0.0,0.0,154.39322715330516
42,2022-03-25,155.80989136458533,145.7301741764383,163.16594812523462,155.80989136458533,155.80989136458533,-1.3803023533597045,-1.3803023533597045,-1.3803023533597045,-1.3803023533597045,-1.3803023533597045,-1.3803023533597045,0.0,0.0,0.0,154.42958901122563
43,2022-03-28,155.35750048771305,144.83302005481343,162.49865550124287,155.35750048771305,155.35750048771305,-2.0168434891634313,-2.0168434891634313,-2.0168434891634313,-2.0168434891634313,-2.0168434891634313,-2.0168434891634313,0.0,0.0,0.0,153.34065699854963
44,2022-03-29,155.20670352875564,145.1425581461768,162.3854093414553,155.20670352875564,155.20670352875564,-1.1118323366390441,-1.1118323366390441,-1.1118323366390441,-1.1118323366390441,-1.1118323366390441,-1.1118323366390441,0.0,0.0,0.0,154.09487119211659
45,2022-03-30,155.0559065697982,144.68544240630112,162.66886966480266,155.0559065697982,155.0559065697982,-1.1516408624906982,-1.1516408624906982,-1.1516408624906982,-1.1516408624906982,-1.1516408624906982,-1.1516408624906982,0.0,0.0,0.0,153.9042657073075
46,2022-03-31,154.90510961084078,144.35252292978905,162.5918800197982,154.90510961084078,154.90510961084078,-1.567461170236092,-1.567461170236092,-1.567461170236092,-1.567461170236092,-1.567461170236092,-1.567461170236092,0.0,0.0,0.0,153.33764844060468
47,2022-04-01,154.75431265188337,144.34531422459955,161.94879772412173,154.75431265188337,154.75431265188337,-1.3803023533556267,-1.3803023533556267,-1.3803023533556267,-1.3803023533556267,-1.3803023533556267,-1.3803023533556267,0.0,0.0,0.0,153.37401029852774
